District code,District name,State,Population,Latitude,Longitude,Households_with_Internet,sex_ratio,literacy_rate
553,Anantapur,Andhra Pradesh,4081148,14.312065561843148,77.46015844785771,8606,98.0,57.0
554,Chittoor,Andhra Pradesh,4174064,13.33109263067696,78.92763898886038,13763,100.0,64.0
545,East Godavari,Andhra Pradesh,5154296,16.782718320784902,82.2432074720511,22411,101.0,64.0
548,Guntur,Andhra Pradesh,4887813,15.884925767634847,80.58657614107885,19383,100.0,61.0
547,Krishna,Andhra Pradesh,4517398,16.143872753151673,81.14805061000413,30438,99.0,67.0
552,Kurnool,Andhra Pradesh,4053463,15.437597151424288,77.90086836581717,10081,99.0,52.0
549,Prakasam,Andhra Pradesh,3397448,15.489039001601704,80.11665790176184,6151,98.0,56.0
542,Srikakulam,Andhra Pradesh,2703114,18.570900998697432,84.25874814010676,3988,101.0,55.0
543,Vizianagaram,Andhra Pradesh,2344474,18.28329696032972,83.45982854198874,4453,102.0,53.0
546,West Godavari,Andhra Pradesh,3936966,16.63297943925236,81.45912990654196,12050,100.0,67.0
253,Changlang,Arunachal Pradesh,148226,27.360484793388448,96.37552644628109,170,93.0,49.0
247,East Kameng,Arunachal Pradesh,78690,27.371194055944056,93.04741486013997,57,103.0,49.0
251,East Siang,Arunachal Pradesh,99214,28.15382352941176,95.06499226006191,450,98.0,63.0
256,Kurung Kumey,Arunachal Pradesh,92076,28.04853351800553,93.24531994459836,95,103.0,40.0
259,Lohit,Arunachal Pradesh,145726,27.946785273972623,96.59670770547945,312,91.0,57.0
258,Lower Dibang Valley,Arunachal Pradesh,54080,28.32651730103806,95.76567335640142,207,93.0,59.0
255,Lower Subansiri,Arunachal Pradesh,83030,27.70849297297297,93.96226108108112,381,98.0,65.0
248,Papum Pare,Arunachal Pradesh,176573,27.27352971698113,93.54468183962264,2477,98.0,69.0
245,Tawang,Arunachal Pradesh,49977,27.680683962264148,91.82504245283016,96,71.0,52.0
254,Tirap,Arunachal Pradesh,111975,26.944062295081984,95.41470327868862,98,94.0,43.0
252,Upper Siang,Arunachal Pradesh,35320,28.8309244897959,95.00155765306124,97,89.0,52.0
249,Upper Subansiri,Arunachal Pradesh,83448,28.277196566523585,93.8991435622318,139,100.0,54.0
246,West Kameng,Arunachal Pradesh,83947,27.46486582278483,92.65015750452083,202,82.0,58.0
250,West Siang,Arunachal Pradesh,112274,28.106296920289846,94.53510344202908,303,93.0,58.0
303,Barpeta,Assam,1693622,26.427872264631056,90.97912010178116,2078,95.0,53.0
319,Bongaigaon,Assam,738804,26.45012521994133,90.6734296187684,2523,97.0,59.0
316,Cachar,Assam,1736617,24.815570668693017,92.86849650455927,5316,96.0,68.0
325,Darrang,Assam,928500,26.584632159624423,92.04141338028155,1166,95.0,52.0
308,Dhemaji,Assam,686133,27.58653343848582,94.71336908517353,1192,95.0,62.0
310,Dibrugarh,Assam,1326335,27.30612284482757,95.0998282327587,8817,96.0,67.0
302,Goalpara,Assam,1008183,26.01727777777781,90.59869891598912,1364,96.0,56.0
313,Golaghat,Assam,1066888,26.377219709794485,93.8258339782347,3073,96.0,68.0
318,Hailakandi,Assam,659296,24.45749608938549,92.59154664804475,1211,95.0,62.0
312,Jorhat,Assam,1092256,26.76244824016563,94.30197722567289,5651,96.0,73.0
321,Kamrup,Assam,1517542,26.17093945205481,91.58863273972592,3109,95.0,66.0
314,Karbi Anglong,Assam,956313,26.08966454598031,93.11536570271832,1923,95.0,58.0
317,Karimganj,Assam,1228686,24.69660712250711,92.3679498575498,1933,96.0,65.0
300,Kokrajhar,Assam,887142,26.49724663573087,90.13997470997688,1218,96.0,55.0
307,Lakhimpur,Assam,1042137,27.14128805970149,94.0775949253732,1948,97.0,66.0
305,Nagaon,Assam,2823768,26.264621706263515,92.9306191144708,5121,96.0,61.0
323,Nalbari,Assam,771639,26.46323767605632,91.40598521126763,1631,95.0,69.0
306,Sonitpur,Assam,1924110,26.73514926829268,92.85197804878044,4358,96.0,58.0
309,Tinsukia,Assam,1327929,27.535492911392414,95.69055949367085,5135,95.0,60.0
209,Araria,Bihar,2811569,26.21152811918061,87.30766554934816,2561,92.0,43.0
235,Aurangabad,Bihar,2540073,24.774291867469877,84.45986024096379,2362,93.0,58.0
515,Aurangabad,Bihar,3701282,24.774291867469877,84.45986024096379,23258,92.0,68.0
225,Banka,Bihar,2034763,24.83235564202333,86.8664916342413,1704,91.0,47.0
222,Begusarai,Bihar,2970541,25.54302613168723,86.1256014403293,4644,89.0,52.0
224,Bhagalpur,Bihar,3037766,25.27719288537548,87.04213814229243,6764,88.0,52.0
231,Bhojpur,Bihar,2728407,25.50666439393939,84.49407803030304,3661,91.0,59.0
232,Buxar,Bihar,1706352,25.48593018867924,84.08808081760995,1784,92.0,58.0
215,Darbhanga,Bihar,3937385,26.14618771929825,85.97387352472099,6280,91.0,46.0
236,Gaya,Bihar,4391418,24.726654154727804,84.94291217765044,6856,94.0,52.0
217,Gopalganj,Bihar,2562012,26.448743641618517,84.34636127167629,3707,102.0,54.0
238,Jamui,Bihar,1760405,24.78418380462726,86.26316298200514,1839,92.0,49.0
239,Jehanabad,Bihar,1125313,25.15567904564316,84.9208124481328,1106,92.0,55.0
212,Katihar,Bihar,3071029,25.565653560371512,87.70466083591326,2941,92.0,42.0
223,Khagaria,Bihar,1666886,25.53558891454964,86.56593256351037,1580,89.0,46.0
210,Kishanganj,Bihar,1690400,26.32433675832129,87.95045007235886,1093,95.0,44.0
227,Lakhisarai,Bihar,1000912,25.183449321266966,86.1282570135747,1186,90.0,51.0
213,Madhepura,Bihar,2001762,25.77341929460581,86.8978443983403,1397,91.0,42.0
207,Madhubani,Bihar,4487379,26.41380538172716,86.16328360450552,5319,93.0,48.0
226,Munger,Bihar,1367765,25.19853796296297,86.54173672839504,2653,88.0,59.0
216,Muzaffarpur,Bihar,4801062,26.186644171779147,85.32745092024544,10290,90.0,52.0
229,Nalanda,Bihar,2877653,25.229345508982053,85.48053113772461,4156,92.0,53.0
237,Nawada,Bihar,2219146,24.825708836206907,85.61594568965519,1841,94.0,49.0
